Datatype,Frequency
http://www.w3.org/2002/12/cal/tzd/Europe/Zurich#tz,60
http://www.loc.gov/standards/datetime#edt,282
http://dbpedia.org/datatype/tajikistaniSomoni,4
http://dbpedia.org/datatype/croatianKuna,782
http://dbpedia.org/datatype/chain,68
http://www.w3.org/2001/XMLSchema#byte,296
http://www.w3.org/2001/XMLSchema-datatypes#dateTime,14
http://dbpedia.org/datatype/imperialGallon,122
http://dbpedia.org/ontology/newton,2
http://dbpedia.org/datatype/bolivianBoliviano,310
http://dbpedia.org/datatype/lesothoLoti,8
ddc:Notation,1155998
http://dbpedia.org/datatype/panamanianBalboa,21
http://dbpedia.org/datatype/honduranLempira,13
http://www.w3.org/2001/XMLSchema#positiveInteger,991592
http://dbpedia.org/ontology/kilocalorie,2
http://www.w3.org/2002/07/owl#nonNegativeInteger,14
http://transport.data.gov.uk/def/naptan/IataCode,2
http://www.w3.org/2001/XMLSchema-datatypes#string,433
http://www.w3.org/2001/XMLSchema#time,25822
http://dbpedia.org/ontology/swedishKrona,13
http://dbpedia.org/ontology/centimetre,3103
http://dbpedia.org/datatype/meganewton,849
http://dbpedia.org/datatype/jamaicanDollar,27
http://dbpedia.org/datatype/mexicanPeso,302
http://dbpedia.org/ontology/day,234
http://www.w3.org/2001/XMLSchema##double,33
http://dbpedia.org/datatype/newTaiwanDollar,96
http://dbpedia.org/datatype/millihertz,96
http://dbpedia.org/ontology/megalitre,13
http://dbpedia.org/ontology/engineConfiguration,2
http://dbpedia.org/datatype/inhabitantsPerSquareKilometre,615375
http://dbpedia.org/datatype/bangladeshiTaka,277
http://dbpedia.org/ontology/megawatt,11
http://dbpedia.org/ontology/astronomicalUnit,32
http://dbpedia.org/datatype/squareKilometre,2680465
http://dbpedia.org/datatype/somaliShilling,48
http://dbpedia.org/datatype/megavolt,206
http://dbpedia.org/ontology/litre,43
http://dbpedia.org/units/Euro,144
http://www.w3.org/2000/10/XMLSchema#decimal,6
http://dbpedia.org/datatype/indonesianRupiah,195
http://dbpedia.org/datatype/kazakhstaniTenge,35
http://dbpedia.org/ontology/minute,9159
http://dbpedia.org/datatype/comorianFranc,8
http://dbpedia.org/ontology/cubicFoot,7
xsd:float,4524
